"","qweek","gender","age","region","household_size","household_children","employment_status","WCRex1"
"3101","week 4","Male",22,"East Java","6","2","Full time student","Don't know"
"3102","week 4","Female",45,"East Java","4","1","Full time employment","Don't know"
"3103","week 4","Male",24,"East Java","5","1","Part time employment","Somewhat well"
"3104","week 4","Male",40,"East Kalimantan","5","3","Not working","Somewhat badly"
"3105","week 4","Female",34,"West Java","3","1","Not working","Don't know"
"3106","week 4","Female",52,"Central Java","1","0","Unemployed","Don't know"
"3107","week 4","Male",44,"West Java","4","2","Not working","Very well"
"3108","week 4","Male",49,"Banten","5","3","Full time employment","Somewhat well"
"3109","week 4","Male",27,"Jakarta (Special Capital Region)","4","0","Full time employment","Don't know"
"3110","week 4","Female",24,"Banten","4","1","Unemployed","Somewhat well"
"3111","week 4","Male",46,"South Sumatra","4","2","Full time employment","Don't know"
"3112","week 4","Male",32,"Lampung","2","0","Part time employment","Somewhat well"
"3113","week 4","Female",18,"Yogyakarta (Special Region)","4","Prefer not to say","Full time student","Don't know"
"3114","week 4","Male",37,"West Java","4","2","Other","Very well"
"3115","week 4","Male",29,"West Java","4","2","Full time employment","Somewhat well"
"3116","week 4","Male",23,"East Java","4","0","Full time employment","Very badly"
"3117","week 4","Male",26,"North Sumatra","6","0","Full time employment","Don't know"
"3118","week 4","Male",22,"East Java","4","0","Part time employment","Somewhat badly"
"3119","week 4","Female",19,"Central Java","4","0","Full time student","Somewhat well"
"3120","week 4","Male",19,"West Java","4","1","Full time student","Very well"
"3121","week 4","Female",45,"North Sumatra","4","1","Full time employment","Somewhat badly"
"3122","week 4","Female",22,"Jakarta (Special Capital Region)","4","1","Full time student","Don't know"
"3123","week 4","Male",19,"Riau","4","0","Full time student","Very well"
"3124","week 4","Male",23,"Jakarta (Special Capital Region)","5","2","Part time employment","Somewhat well"
"3125","week 4","Male",23,"West Java","6","1","Full time student","Somewhat badly"
"3126","week 4","Female",20,"Jakarta (Special Capital Region)","7","3","Full time student","Very well"
"3127","week 4","Male",25,"Jakarta (Special Capital Region)","4","0","Full time student","Don't know"
"3128","week 4","Male",35,"Banten","7","2","Full time employment","Don't know"
"3129","week 4","Male",41,"Banten","4","2","Full time employment","Very well"
"3130","week 4","Male",55,"West Java","4","1","Part time employment","Somewhat well"
"3131","week 4","Male",30,"West Java","5","1","Unemployed","Very well"
"3132","week 4","Female",23,"West Java","6","1","Part time employment","Somewhat well"
"3133","week 4","Male",42,"West Kalimantan","6","2","Full time employment","Don't know"
"3134","week 4","Male",28,"North Sumatra","1","0","Full time employment","Somewhat well"
"3135","week 4","Male",19,"West Java","8 or more","3","Unemployed","Very well"
"3136","week 4","Male",23,"West Java","5","2","Full time employment","Somewhat well"
"3137","week 4","Female",21,"West Java","5","1","Full time student","Don't know"
"3138","week 4","Female",18,"Central Java","4","0","Full time student","Don't know"
"3139","week 4","Male",28,"Jakarta (Special Capital Region)","6","2","Part time employment","Somewhat well"
"3140","week 4","Male",26,"Jakarta (Special Capital Region)","3","0","Not working","Very badly"
"3141","week 4","Male",28,"West Java","3","1","Full time employment","Somewhat badly"
"3142","week 4","Male",27,"Central Java","4","1","Not working","Somewhat well"
"3143","week 4","Female",45,"East Java","4","1","Part time employment","Somewhat well"
"3144","week 4","Female",22,"North Sulawesi","3","0","Full time student","Don't know"
"3145","week 4","Female",22,"West Java","2","0","Full time student","Don't know"
"3146","week 4","Female",27,"Central Java","3","0","Full time student","Somewhat well"
"3147","week 4","Male",37,"Central Java","4","2","Full time employment","Don't know"
"3148","week 4","Male",21,"Central Java","3","0","Full time student","Somewhat badly"
"3149","week 4","Male",39,"West Java","5","2","Full time employment","Don't know"
"3150","week 4","Female",22,"East Java","4","0","Full time student","Don't know"
"3151","week 4","Male",20,"Central Java","1","1","Full time student","Don't know"
"3152","week 4","Female",27,"South Sumatra","6","1","Full time employment","Very well"
"3153","week 4","Male",35,"West Java","4","0","Full time employment","Somewhat well"
"3154","week 4","Male",39,"East Java","5","Prefer not to say","Part time employment","Don't know"
"3155","week 4","Female",42,"Banten","4","1","Full time employment","Somewhat badly"
"3156","week 4","Female",41,"East Java","4","1","Part time employment","Don't know"
"3157","week 4","Female",43,"Central Sulawesi","7","2","Full time employment","Somewhat well"
"3158","week 4","Male",20,"Lampung","4","1","Not working","Somewhat well"
"3159","week 4","Female",35,"Jakarta (Special Capital Region)","4","3","Part time employment","Very well"
"3160","week 4","Male",29,"Central Java","5","1","Part time employment","Somewhat well"
"3161","week 4","Female",24,"West Java","2","1","Full time student","Very well"
"3162","week 4","Female",48,"Jakarta (Special Capital Region)","7","3","Full time employment","Very well"
"3163","week 4","Female",48,"West Java","1","0","Full time employment","Very well"
"3164","week 4","Female",21,"North Sumatra","4","0","Full time employment","Somewhat badly"
"3165","week 4","Male",23,"Yogyakarta (Special Region)","5","0","Full time employment","Very well"
"3166","week 4","Female",21,"East Java","5","0","Full time student","Somewhat well"
"3167","week 4","Male",21,"South Sumatra","4","1","Full time student","Somewhat well"
"3168","week 4","Female",23,"Jakarta (Special Capital Region)","5","0","Part time employment","Somewhat badly"
"3169","week 4","Male",33,"Riau","3","1","Part time employment","Somewhat well"
"3170","week 4","Male",19,"West Java","5","1","Full time student","Somewhat badly"
"3171","week 4","Male",30,"South Kalimantan","5","2","Full time employment","Don't know"
"3172","week 4","Male",29,"West Java","4","0","Unemployed","Don't know"
"3173","week 4","Male",33,"Central Java","3","1","Full time employment","Very well"
"3174","week 4","Female",22,"Lampung","4","1","Part time employment","Somewhat well"
"3175","week 4","Female",24,"Riau Islands","5","2","Full time employment","Very well"
"3176","week 4","Male",29,"East Java","3","1","Full time employment","Very well"
"3177","week 4","Male",55,"West Java","3","1","Retired","Somewhat badly"
"3178","week 4","Female",23,"Jakarta (Special Capital Region)","Prefer not to say","1","Full time employment","Somewhat badly"
"3179","week 4","Female",24,"Banten","2","1","Part time employment","Very well"
"3180","week 4","Male",29,"Jakarta (Special Capital Region)","5","4","Full time employment","Very well"
"3181","week 4","Female",25,"Bali","2","1","Full time employment","Very badly"
"3182","week 4","Male",26,"Yogyakarta (Special Region)","4","1","Part time employment","Somewhat badly"
"3183","week 4","Male",18,"Central Java","4","0","Full time student","Somewhat well"
"3184","week 4","Male",21,"South Kalimantan","Prefer not to say","Prefer not to say","Part time employment","Don't know"
"3185","week 4","Male",39,"West Java","3","1","Not working","Somewhat well"
"3186","week 4","Male",40,"Jakarta (Special Capital Region)","5","2","Part time employment","Don't know"
"3187","week 4","Male",25,"North Sumatra","6","1","Full time student","Very well"
"3188","week 4","Male",30,"Bali","3","1","Full time employment","Somewhat badly"
"3189","week 4","Male",27,"Yogyakarta (Special Region)","2","0","Full time employment","Very badly"
"3190","week 4","Male",25,"East Java","3","0","Full time employment","Somewhat well"
"3191","week 4","Male",36,"West Sumatra","8 or more","4","Part time employment","Very badly"
"3192","week 4","Male",27,"Bali","5","0","Full time employment","Don't know"
"3193","week 4","Female",20,"Banten","3","0","Full time employment","Somewhat badly"
"3194","week 4","Male",23,"Aceh (Special Region)","2","0","Unemployed","Very well"
"3195","week 4","Male",25,"Central Java","4","1","Full time employment","Very well"
"3196","week 4","Female",22,"East Java","3","0","Full time student","Don't know"
"3197","week 4","Female",24,"West Java","4","0","Part time employment","Somewhat well"
"3198","week 4","Male",42,"East Java","Prefer not to say","2","Full time employment","Somewhat badly"
"3199","week 4","Male",27,"West Java","2","0","Full time employment","Somewhat badly"
"3200","week 4","Male",19,"Bengkulu","5","1","Part time employment","Very well"
"3201","week 4","Male",30,"West Java","2","0","Unemployed","Don't know"
"3202","week 4","Female",60,"East Java","2","0","Full time employment","Somewhat well"
"3203","week 4","Female",24,"Banten","2","0","Full time employment","Somewhat badly"
"3204","week 4","Male",46,"North Sumatra","5","1","Part time employment","Somewhat well"
"3205","week 4","Male",22,"Aceh (Special Region)","3","1","Full time employment","Somewhat badly"
"3206","week 4","Male",28,"West Java","1","1","Full time employment","Very well"
"3207","week 4","Male",36,"Central Java","4","1","Full time employment","Somewhat badly"
"3208","week 4","Male",21,"West Java","Prefer not to say","1","Not working","Don't know"
"3209","week 4","Male",20,"North Sumatra","Don't know","2","Full time student","Very badly"
"3210","week 4","Male",23,"East Java","5","1","Part time employment","Somewhat well"
"3211","week 4","Male",28,"East Java","3","0","Full time employment","Somewhat well"
"3212","week 4","Male",26,"Riau Islands","1","1","Full time employment","Somewhat badly"
"3213","week 4","Female",19,"West Java","4","1","Full time student","Don't know"
"3214","week 4","Male",24,"West Java","8 or more","4","Part time employment","Don't know"
"3215","week 4","Female",19,"Central Java","4","0","Full time student","Don't know"
"3216","week 4","Male",33,"South Kalimantan","2","0","Full time employment","Somewhat well"
"3217","week 4","Female",23,"Bangka–Belitung Islands","5","0","Full time employment","Don't know"
"3218","week 4","Male",23,"East Java","Prefer not to say","0","Unemployed","Don't know"
"3219","week 4","Male",31,"East Kalimantan","3","2","Not working","Somewhat well"
"3220","week 4","Male",22,"Central Java","Prefer not to say","0","Not working","Somewhat well"
"3221","week 4","Female",20,"Gorontalo","3","0","Full time student","Very badly"
"3222","week 4","Female",20,"West Java","2","1","Full time employment","Somewhat well"
"3223","week 4","Male",21,"West Java","Prefer not to say","Don't know","Full time employment","Don't know"
"3224","week 4","Male",43,"East Java","4","2","Full time employment","Somewhat well"
"3225","week 4","Male",25,"Jakarta (Special Capital Region)","1","0","Full time employment","Don't know"
"3226","week 4","Male",22,"West Java","2","0","Unemployed","Somewhat well"
"3227","week 4","Female",19,"West Java","2","2","Full time student","Somewhat well"
"3228","week 4","Male",21,"North Sumatra","8 or more","2","Not working","Don't know"
"3229","week 4","Female",28,"Central Java","Prefer not to say","Prefer not to say","Other","Don't know"
"3230","week 4","Female",20,"East Java","5","0","Full time student","Don't know"
"3231","week 4","Female",19,"West Java","7","0","Not working","Very well"
"3232","week 4","Male",19,"Banten","4","0","Full time employment","Don't know"
"3233","week 4","Female",21,"Jakarta (Special Capital Region)","2","0","Full time student","Somewhat well"
"3234","week 4","Male",23,"Central Java","5","1","Full time employment","Somewhat badly"
"3235","week 4","Male",23,"East Java","8 or more","1","Full time student","Somewhat well"
"3236","week 4","Male",24,"East Java","7","2","Full time student","Don't know"
"3237","week 4","Male",21,"East Kalimantan","2","1","Full time employment","Somewhat well"
"3238","week 4","Female",21,"Central Java","6","1","Full time student","Somewhat well"
"3239","week 4","Female",20,"Banten","5","0","Full time student","Somewhat well"
"3240","week 4","Female",27,"Jambi","3","0","Part time employment","Don't know"
"3241","week 4","Male",22,"Central Java","5","1","Full time employment","Don't know"
"3242","week 4","Female",45,"West Kalimantan","2","1","Full time employment","Somewhat well"
"3243","week 4","Female",23,"Jakarta (Special Capital Region)","2","0","Not working","Don't know"
"3244","week 4","Female",20,"Banten","4","2","Full time student","Don't know"
"3245","week 4","Female",31,"Jakarta (Special Capital Region)","3","2","Full time employment","Somewhat well"
"3246","week 4","Female",36,"North Sumatra","3","1","Part time employment","Somewhat well"
"3247","week 4","Female",26,"East Java","2","0","Part time employment","Somewhat badly"
"3248","week 4","Female",33,"West Java","4","2","Not working","Don't know"
"3249","week 4","Male",32,"North Sumatra","3","0","Not working","Don't know"
"3250","week 4","Male",25,"Jakarta (Special Capital Region)","5","2","Full time employment","Somewhat well"
"3251","week 4","Male",30,"Riau Islands","3","1","Full time employment","Very well"
"3252","week 4","Male",35,"Jakarta (Special Capital Region)","3","1","Full time employment","Very well"
"3253","week 4","Male",30,"West Java","5","1","Full time employment","Very well"
"3254","week 4","Female",33,"West Java","4","2","Not working","Somewhat badly"
"3255","week 4","Male",33,"West Java","8 or more","2","Full time employment","Don't know"
"3256","week 4","Male",41,"East Nusa Tenggara","4","2","Full time employment","Don't know"
"3257","week 4","Male",28,"Banten","Don't know","Prefer not to say","Not working","Don't know"
"3258","week 4","Male",32,"Central Java","3","1","Part time employment","Somewhat well"
"3259","week 4","Male",23,"South Sulawesi","5","1","Full time employment","Somewhat well"
"3260","week 4","Female",28,"East Java","3","1","Full time employment","Somewhat badly"
"3261","week 4","Female",30,"East Java","4","2","Not working","Somewhat badly"
"3262","week 4","Male",32,"East Java","3","1","Full time employment","Very well"
"3263","week 4","Female",29,"South Sulawesi","6","0","Full time employment","Very well"
"3264","week 4","Female",19,"West Java","7","3","Full time student","Somewhat badly"
"3265","week 4","Female",20,"Central Java","5","Prefer not to say","Full time student","Somewhat badly"
"3266","week 4","Female",35,"Jakarta (Special Capital Region)","6","0","Full time employment","Somewhat well"
"3267","week 4","Female",22,"Central Java","4","1","Full time student","Don't know"
"3268","week 4","Female",28,"Jakarta (Special Capital Region)","2","0","Part time employment","Somewhat well"
"3269","week 4","Male",33,"Bengkulu","Don't know","Prefer not to say","Full time employment","Don't know"
"3270","week 4","Female",38,"Banten","8 or more","1","Not working","Very well"
"3271","week 4","Female",42,"Banten","6","4","Not working","Very well"
"3272","week 4","Female",26,"North Kalimantan","6","1","Full time employment","Somewhat well"
"3273","week 4","Female",23,"Jakarta (Special Capital Region)","1","0","Part time employment","Very badly"
"3274","week 4","Male",35,"East Java","3","1","Full time employment","Somewhat well"
"3275","week 4","Male",32,"East Java","7","2","Part time employment","Don't know"
"3276","week 4","Male",40,"East Java","3","1","Part time employment","Somewhat badly"
"3277","week 4","Female",26,"Central Java","4","Prefer not to say","Unemployed","Don't know"
"3278","week 4","Male",21,"West Java","Prefer not to say","Prefer not to say","Not working","Somewhat well"
"3279","week 4","Male",34,"Banten","4","2","Full time employment","Somewhat well"
"3280","week 4","Male",30,"Jakarta (Special Capital Region)","4","1","Part time employment","Very well"
"3281","week 4","Male",36,"West Java","3","1","Full time employment","Somewhat well"
"3282","week 4","Female",35,"Bali","5","1","Full time employment","Very well"
"3283","week 4","Male",29,"Central Java","5","1","Full time employment","Somewhat well"
"3284","week 4","Male",39,"Lampung","4","2","Not working","Don't know"
"3285","week 4","Female",30,"Central Java","2","0","Full time employment","Don't know"
"3286","week 4","Female",21,"East Java","Prefer not to say","2","Full time student","Don't know"
"3287","week 4","Male",18,"Maluku","5","1","Not working","Somewhat well"
"3288","week 4","Female",23,"Lampung","8 or more","4","Full time student","Somewhat well"
"3289","week 4","Male",38,"West Java","8 or more","3","Part time employment","Somewhat badly"
"3290","week 4","Male",32,"Papua","3","1","Part time employment","Very well"
"3291","week 4","Female",22,"Jakarta (Special Capital Region)","4","1","Full time student","Very badly"
"3292","week 4","Male",28,"East Java","1","0","Full time employment","Don't know"
"3293","week 4","Male",53,"East Java","5","1","Part time employment","Somewhat well"
"3294","week 4","Male",43,"West Java","4","2","Full time employment","Somewhat well"
"3295","week 4","Male",41,"Central Java","4","1","Not working","Very well"
"3296","week 4","Male",36,"Jambi","5","3","Full time employment","Somewhat well"
"3297","week 4","Male",24,"Lampung","4","1","Full time employment","Very badly"
"3298","week 4","Female",27,"Bali","8 or more","2","Full time employment","Somewhat badly"
"3299","week 4","Female",25,"West Java","3","1","Full time student","Somewhat badly"
"3300","week 4","Female",22,"Central Sulawesi","5","0","Full time student","Somewhat badly"
"3301","week 4","Male",23,"Lampung","6","2","Part time employment","Somewhat badly"
"3302","week 4","Female",26,"Yogyakarta (Special Region)","1","0","Full time employment","Somewhat well"
"3303","week 4","Male",29,"West Java","5","2","Part time employment","Somewhat badly"
"3304","week 4","Male",20,"West Java","1","0","Unemployed","Don't know"
"3305","week 4","Female",51,"Yogyakarta (Special Region)","3","0","Full time employment","Very well"
"3306","week 4","Male",19,"Central Java","4","1","Full time student","Somewhat well"
"3307","week 4","Female",24,"Central Sulawesi","5","1","Not working","Don't know"
"3308","week 4","Male",23,"East Java","4","1","Full time employment","Somewhat badly"
"3309","week 4","Female",19,"North Kalimantan","5","0","Full time student","Somewhat well"
"3310","week 4","Female",35,"Yogyakarta (Special Region)","5","3","Full time employment","Don't know"
"3311","week 4","Female",23,"Jakarta (Special Capital Region)","7","4","Full time employment","Somewhat well"
"3312","week 4","Female",22,"Jakarta (Special Capital Region)","3","0","Full time student","Somewhat well"
"3313","week 4","Female",23,"South Sulawesi","5","1","Full time employment","Somewhat badly"
"3314","week 4","Male",37,"East Java","1","4","Part time employment","Somewhat well"
"3315","week 4","Male",25,"West Java","3","1","Full time employment","Somewhat well"
"3316","week 4","Male",30,"East Java","6","0","Part time employment","Very well"
"3317","week 4","Male",18,"Central Java","4","2","Unemployed","Don't know"
"3318","week 4","Male",36,"West Java","Prefer not to say","Prefer not to say","Other","Don't know"
"3319","week 4","Male",30,"Riau","3","1","Part time employment","Don't know"
"3320","week 4","Female",32,"Central Java","3","1","Not working","Somewhat badly"
"3321","week 4","Male",36,"Jakarta (Special Capital Region)","4","2","Full time employment","Don't know"
"3322","week 4","Male",32,"Jambi","7","5 or more","Part time employment","Don't know"
"3323","week 4","Male",31,"North Sumatra","2","0","Full time employment","Don't know"
"3324","week 4","Female",25,"Bali","5","0","Unemployed","Somewhat well"
"3325","week 4","Female",36,"Jakarta (Special Capital Region)","3","1","Not working","Somewhat well"
"3326","week 4","Female",32,"West Java","5","1","Full time employment","Don't know"
"3327","week 4","Female",22,"Central Java","4","1","Full time student","Very well"
"3328","week 4","Male",30,"Bali","5","1","Part time employment","Somewhat well"
"3329","week 4","Male",26,"East Java","6","1","Full time employment","Don't know"
"3330","week 4","Male",37,"Banten","4","1","Full time employment","Very well"
"3331","week 4","Female",41,"West Java","3","1","Full time employment","Somewhat well"
"3332","week 4","Male",33,"West Java","3","1","Full time employment","Somewhat well"
"3333","week 4","Male",29,"Jakarta (Special Capital Region)","7","0","Full time employment","Don't know"
"3334","week 4","Male",24,"Yogyakarta (Special Region)","4","1","Full time employment","Somewhat badly"
"3335","week 4","Male",38,"Aceh (Special Region)","4","1","Part time employment","Don't know"
"3336","week 4","Female",39,"Riau Islands","4","2","Not working","Don't know"
"3337","week 4","Female",30,"Jakarta (Special Capital Region)","3","0","Full time employment","Somewhat well"
"3338","week 4","Female",31,"Central Java","3","1","Part time employment","Very well"
"3339","week 4","Female",29,"Jakarta (Special Capital Region)","4","1","Full time employment","Somewhat badly"
"3340","week 4","Female",39,"East Java","4","2","Full time employment","Somewhat badly"
"3341","week 4","Male",29,"Jakarta (Special Capital Region)","3","1","Part time employment","Don't know"
"3342","week 4","Female",48,"Central Java","3","2","Part time employment","Very well"
"3343","week 4","Male",21,"West Java","4","1","Full time student","Somewhat well"
"3344","week 4","Female",49,"Lampung","6","1","Other","Very well"
"3345","week 4","Female",34,"Banten","4","2","Part time employment","Very badly"
"3346","week 4","Male",25,"Jakarta (Special Capital Region)","2","0","Full time employment","Somewhat well"
"3347","week 4","Female",18,"Central Java","5","1","Full time student","Somewhat well"
"3348","week 4","Female",26,"West Java","4","2","Not working","Somewhat well"
"3349","week 4","Female",22,"West Java","5","2","Full time employment","Very well"
"3350","week 4","Female",43,"West Java","2","0","Part time employment","Somewhat well"
"3351","week 4","Female",55,"East Java","2","1","Full time student","Very well"
"3352","week 4","Female",23,"East Java","5","0","Part time employment","Very well"
"3353","week 4","Male",27,"Yogyakarta (Special Region)","4","0","Part time employment","Somewhat well"
"3354","week 4","Female",22,"East Java","4","1","Full time employment","Very badly"
"3355","week 4","Female",32,"Jakarta (Special Capital Region)","3","2","Part time employment","Very well"
"3356","week 4","Male",28,"Central Java","3","3","Full time employment","Somewhat badly"
"3357","week 4","Female",22,"West Java","4","0","Full time student","Don't know"
"3358","week 4","Female",74,"West Kalimantan","5","1","Part time employment","Somewhat well"
"3359","week 4","Female",37,"Jakarta (Special Capital Region)","2","0","Unemployed","Very well"
"3360","week 4","Male",34,"West Java","6","2","Full time employment","Don't know"
"3361","week 4","Male",28,"West Java","8 or more","1","Part time employment","Somewhat badly"
"3362","week 4","Male",30,"West Java","Don't know","0","Full time employment","Very well"
"3363","week 4","Female",46,"West Kalimantan","5","1","Full time employment","Very well"
"3364","week 4","Female",22,"West Java","4","0","Not working","Very well"
"3365","week 4","Male",18,"West Java","5","2","Full time employment","Very badly"
"3366","week 4","Female",34,"East Java","5","1","Part time employment","Don't know"
"3367","week 4","Female",28,"West Java","8 or more","2","Full time employment","Somewhat badly"
"3368","week 4","Male",26,"North Sumatra","4","0","Not working","Somewhat well"
"3369","week 4","Male",27,"West Java","4","0","Full time employment","Somewhat badly"
"3370","week 4","Male",31,"East Java","3","0","Full time employment","Don't know"
"3371","week 4","Male",20,"West Java","Don't know","2","Full time employment","Somewhat well"
"3372","week 4","Male",33,"East Java","3","0","Full time employment","Somewhat well"
"3373","week 4","Female",23,"West Java","4","1","Full time employment","Somewhat badly"
"3374","week 4","Male",20,"West Java","Don't know","Don't know","Other","Don't know"
"3375","week 4","Female",24,"East Java","3","0","Full time student","Somewhat well"
"3376","week 4","Male",29,"Bali","3","1","Full time employment","Somewhat well"
"3377","week 4","Female",29,"South Sulawesi","3","1","Not working","Somewhat well"
"3378","week 4","Male",28,"East Java","8 or more","3","Full time employment","Somewhat well"
"3379","week 4","Male",38,"West Nusa Tenggara","4","0","Part time employment","Very well"
"3380","week 4","Female",25,"North Sumatra","4","2","Part time employment","Somewhat well"
"3381","week 4","Female",19,"North Sumatra","Don't know","Don't know","Full time student","Very badly"
"3382","week 4","Female",25,"East Java","3","0","Full time employment","Somewhat badly"
"3383","week 4","Female",37,"West Java","4","2","Not working","Somewhat well"
"3384","week 4","Male",32,"Jakarta (Special Capital Region)","Prefer not to say","1","Not working","Somewhat badly"
"3385","week 4","Female",40,"Jakarta (Special Capital Region)","5","0","Full time employment","Somewhat well"
"3386","week 4","Male",25,"Central Java","5","1","Full time employment","Somewhat well"
"3387","week 4","Female",27,"North Kalimantan","Prefer not to say","Prefer not to say","Full time employment","Somewhat well"
"3388","week 4","Female",31,"Jakarta (Special Capital Region)","8 or more","2","Full time employment","Don't know"
"3389","week 4","Male",36,"Banten","4","5 or more","Part time employment","Somewhat badly"
"3390","week 4","Female",24,"North Sumatra","3","1","Part time employment","Very well"
"3391","week 4","Female",37,"Jambi","4","2","Other","Very well"
"3392","week 4","Male",24,"West Java","2","0","Full time student","Somewhat badly"
"3393","week 4","Male",24,"East Java","4","0","Part time employment","Very well"
"3394","week 4","Female",25,"Central Java","7","3","Part time employment","Very well"
"3395","week 4","Female",41,"Jakarta (Special Capital Region)","6","0","Full time employment","Very well"
"3396","week 4","Male",21,"West Java","6","2","Part time employment","Somewhat well"
"3397","week 4","Male",24,"Central Java","5","0","Full time employment","Somewhat well"
"3398","week 4","Male",38,"North Sumatra","4","2","Full time employment","Somewhat well"
"3399","week 4","Female",27,"East Java","4","1","Full time employment","Very well"
"3400","week 4","Female",41,"East Kalimantan","3","1","Not working","Don't know"
"3401","week 4","Male",46,"East Java","2","0","Part time employment","Very well"
"3402","week 4","Male",31,"East Java","3","1","Full time employment","Somewhat badly"
